age,city,country,finalWorth,firstName,gender,industries,lastName,rank,source
50,Austin,United States,219000,Elon,M,Automotive,Musk,1,"Tesla, SpaceX"
58,Seattle,United States,171000,Jeff,M,Technology,Bezos,2,Amazon
73,Paris,France,158000,Bernard,M,Fashion & Retail,Arnault,3,LVMH
66,Medina,United States,129000,Bill,M,Technology,Gates,4,Microsoft
91,Omaha,United States,118000,Warren,M,Finance & Investments,Buffett,5,Berkshire Hathaway
49,Palo Alto,United States,111000,Larry,M,Technology,Page,6,Google
48,Los Altos,United States,107000,Sergey,M,Technology,Brin,7,Google
77,Lanai,United States,106000,Larry,M,Technology,Ellison,8,software
66,Hunts Point,United States,91400,Steve,M,Technology,Ballmer,9,Microsoft
64,Mumbai,India,90700,Mukesh,M,Diversified,Ambani,10,diversified
59,Ahmedabad,India,90000,Gautam,M,Diversified,Adani,11,"infrastructure, commodities"
80,New York,United States,82000,Michael,M,Media & Entertainment,Bloomberg,12,Bloomberg LP
82,Mexico City,Mexico,81200,Carlos,M,Telecom,Slim Helu,13,telecom
68,Paris,France,74800,Francoise,F,Fashion & Retail,Bettencourt Meyers,14,L'Oréal
37,Palo Alto,United States,67300,Mark,M,Technology,Zuckerberg,15,Facebook
73,Bentonville,United States,66200,Jim,M,Fashion & Retail,Walton,16,Walmart
67,Hangzhou,China,65700,Shanshan,M,Food & Beverage,Zhong,17,"beverages, pharmaceuticals"
72,Fort Worth,United States,65300,Alice,F,Fashion & Retail,Walton,18,Walmart
77,Bentonville,United States,65000,Rob,M,Fashion & Retail,Walton,19,Walmart
44,Dubai,United Arab Emirates,65000,Changpeng,M,Finance & Investments,Zhao,19,cryptocurrency exchange
86,Wichita,United States,60000,Charles,M,Diversified,Koch,21,Koch Industries
59,New York,United States,60000,Julia,F,Diversified,Koch,21,Koch Industries
86,La Coruna,Spain,59600,Amancio,M,Fashion & Retail,Ortega,23,Zara
57,Austin,United States,55100,Michael,M,Technology,Dell,24,Dell computers
38,Beijing,China,50000,Yiming,M,Media & Entertainment,Zhang,25,TikTok
64,Toronto,Canada,49200,David,M,Media & Entertainment,Thomson,26,media
84,Hillsboro,United States,47300,Phil,M,Fashion & Retail,Knight,27,Nike
82,Neckarsulm,Germany,47100,Dieter,M,Fashion & Retail,Schwarz,28,retail
53,Ningde,China,44800,Robin,M,Automotive,Zeng,29,batteries
51,Seattle,United States,43600,MacKenzie,F,Technology,Scott,30,Amazon
52,Marseille,France,41400,Rodolphe,M,Logistics,Saadé,31,shipping
85,Paris,France,40400,François,M,Fashion & Retail,Pinault,32,luxury goods
84,Schindellegi,Switzerland,37300,Klaus-Michael,M,Logistics,Kuehne,33,shipping
50,Shenzhen,China,37200,Huateng,M,Technology,Ma,34,internet media
0,,Germany,36800,Beate Heister & Karl,,Fashion & Retail,Albrecht Jr.,35,supermarkets
