"ActionDate","EquityNumber","ValidityDate","NV","Price","ForeignCurrencyRate","ForeignTaxVL","TaxVL","TaxPrecentage","VL","NisVL","Name","CurrencyCode","Action","Commission"
"24/01/2023","71029847","24/01/2023","101","241.45","3.37","0","0","0","0","0","PXD","USD","העברה חיצונית לח-ן","0"
"24/01/2023","71029847","24/01/2023","41","241.45","3.37","0","0","0","0","0","PXD","USD","העברה חיצונית לח-ן","0"
"24/01/2023","71110951","24/01/2023","552","14.4","3.37","0","0","0","0","0","ARBOR REALTY TR","USD","העברה חיצונית לח-ן","0"
"24/01/2023","71110951","24/01/2023","588","14.4","3.37","0","0","0","0","0","ARBOR REALTY TR","USD","העברה חיצונית לח-ן","0"
"24/01/2023","71110951","24/01/2023","1760","14.4","3.37","0","0","0","0","0","ARBOR REALTY TR","USD","העברה חיצונית לח-ן","0"
"24/01/2023","71110951","24/01/2023","1200","14.4","3.37","0","0","0","0","0","ARBOR REALTY TR","USD","העברה חיצונית לח-ן","0"
"24/01/2023","71110951","24/01/2023","1000","14.4","3.37","0","0","0","0","0","ARBOR REALTY TR","USD","העברה חיצונית לח-ן","0"
"24/01/2023","71110951","24/01/2023","974","14.4","3.37","0","0","0","0","0","ARBOR REALTY TR","USD","העברה חיצונית לח-ן","0"
"24/01/2023","71110951","24/01/2023","840","14.4","3.37","0","0","0","0","0","ARBOR REALTY TR","USD","העברה חיצונית לח-ן","0"
"24/01/2023","71110951","24/01/2023","1500","14.4","3.37","0","0","0","0","0","ARBOR REALTY TR","USD","העברה חיצונית לח-ן","0"
"24/01/2023","71110951","24/01/2023","200","14.4","3.37","0","0","0","0","0","ARBOR REALTY TR","USD","העברה חיצונית לח-ן","0"
"24/01/2023","71110951","24/01/2023","596","14.4","3.37","0","0","0","0","0","ARBOR REALTY TR","USD","העברה חיצונית לח-ן","0"
"24/01/2023","71110951","24/01/2023","588","14.4","3.37","0","0","0","0","0","ARBOR REALTY TR","USD","העברה חיצונית לח-ן","0"
