חוק,כתובת,מספר מעסיק,סיבת הביקורת,סכום עיצום סופי,ענף,פרטים נוספים,שם מעסיק,תאריך החלטה
"חוק הגנת השכר תשי""ח-1958","העצמאות, פתח תקווה91,",514605799,פנייה,"18,280 ₪",קבלני כוח אדם,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/586.3.2020.pdf,"סקופ אוף וורק בע""מ",08/06/2022
"חוק הגנת השכר תשי""ח-1958","קטרוני, פתח תקווה23,",,יזום,"18,280 ₪",שרותי ניקיון,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/15652021.pdf,ישראקלין,08/06/2022
"חוק הגנת השכר תשי""ח-1958","ירמיהו, ירושלים43,",515023356,יזום,"20,108 ₪",מסעדות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/17192019.pdf,"בן-אדם קפה בע""מ",02/06/2022
"חוק שכר מינימום תשמ""ז-1987","דרך חברון, ירושלים151,",513655282,פנייה,"27,420 ₪",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/9112021.pdf,"דלישס מרכולים בע""מ",23/05/2022
"חוק הגנת השכר תשי""ח-1958","עם ועולמו, ירושלים3,",513029207,פנייה,"21,936 ₪",היסעים והובלות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/15462021.pdf,"אחדות הסעות בע""מ",16/05/2022
"חוק הגנת השכר תשי""ח-1958","האומן, ירושלים17,",,יזום,"מחזור עסקאות
					      				 ",מסחר,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/17522021.pdf,פאוור בודי,15/05/2022
"חוק הגנת השכר תשי""ח-1958","החרושת 47,כרמיאל",515511145,פנייה,"18,280 ₪",תעשיות אחרות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-1513-2-2021.pdf,"צבעי בראשית מ. ב. י בע""מ",09/05/2022
"חוק הגנת השכר תשי""ח-1958",קצרין,580441327,פנייה,"18,280 ₪",עמותות,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-1077-2-2021.pdf,"שניר חרמון שיאון-לקידום חברתי בגולן (ע""ר",08/05/2022
"חוק עבודת נשים תשי""ד-1954","הרצל 75,נהריה",514554591,פנייה,"18,280 ₪","שרותים מקצועיים, טכניים ואישיים",https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/15-2149-2-2021.pdf,"אדיבים סוכנות לביטוח (2011) בע""מ",28/04/2022
"חוק הגנת השכר תשי""ח-1958","ברק 19,ברק",,יזום,"18,280 ₪",שיווק,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-1958-2-2021.pdf,תור בקול,27/04/2022
"חוק הגנת השכר תשי""ח-1958
צו הרחבה (נוסח משולב) לפנסיה חובה לפי חוק הסכמים קיבוציים התשי""ז-1956","חנקין יהושע 34,עפולה",513857383,יזום,"58,496 ₪",קבלני שירותים (שמירה אבטחה וניקיון),https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21+33-2312-2-2021.pdf,"ר.א.ש. ובניו בע""מ",27/04/2022
"חוק הגנת השכר תשי""ח-1958","פרנק 11,חדרה",515420669,יזום,"18,280 ₪",אולמות אירועים / שרותי קיטרינג,https://employment.molsa.gov.il/Employment/WorkRights/WorkRightsEnforcement/FinancialSanctions/documents/21-1894-2-2021.pdf,"בר-בר ביער שירותי בר בע""מ",26/04/2022
