investment_granted,investment_requested,ltv_0_x_30,ltv_30_x_45,ltv_45_x_60,ltv_60_x_75,ltv_75_x_90,ltv_90_x_100,ltv_date,ltv_unsecured,reducedpricehome_granted,reducedpricehome_requested,repay_granted,repay_requested,total_granted,total_requested
775.128,863.0,474.096,1265.696,2368.453,3505.324,1.395,0.0,2022-09-29T21:00:00.000Z,82.509,759.091,777.0,267.582,363.0,7697.473,7886.0
1041.005,1103.0,605.157,1600.02,2891.312,4407.452,0.446,0.0,2022-08-30T21:00:00.000Z,133.878,774.181,840.0,292.671,372.0,9638.265,9409.0
1007.196,1062.0,586.259,1735.399,3088.746,4620.284,1.045,0.204,2022-07-30T21:00:00.000Z,81.666,953.356,981.0,347.047,421.0,10113.603,9701.0
1239.99,1320.0,651.556,1994.272,3647.083,5449.807,5.775,0.856,2022-06-29T21:00:00.000Z,131.063,1004.64,1406.0,455.897,596.0,11880.412,12024.0
1196.911,1275.0,637.881,1885.207,3741.208,5555.678,0.05,0.25,2022-05-30T21:00:00.000Z,157.272,1074.013,1300.0,518.847,664.0,11977.546,12038.0
1025.104,1150.0,553.328,1730.098,3320.698,4759.239,0.246,0.1,2022-04-29T21:00:00.000Z,120.346,925.232,1134.0,441.004,572.0,10484.055,10571.0
1546.79,1711.0,682.064,2246.299,4423.25,5943.148,2.884,0.565,2022-03-30T21:00:00.000Z,133.494,1283.722,1492.0,710.882,853.0,13431.704,13781.0
1397.147,1618.0,546.626,1869.943,3575.799,5083.752,3.208,0.55,2022-02-27T22:00:00.000Z,145.195,1067.125,1330.0,618.031,775.0,11225.073,11923.0
1352.01,1726.0,534.062,1731.653,3123.43,4411.36,1.385,0.0,2022-01-30T22:00:00.000Z,163.665,889.012,1149.0,561.635,721.0,9965.555,10898.0
1787.381,2229.0,686.509,2108.387,4096.773,5145.346,0.715,0.0,2021-12-30T22:00:00.000Z,181.554,1128.63,1527.0,667.896,876.0,12219.284,13440.0
1546.101,1987.0,641.89,1817.356,3626.288,4699.728,0.35,0.148,2021-11-29T22:00:00.000Z,198.551,1254.858,1546.0,585.096,789.0,10984.311,12140.0
1408.722,1806.0,581.724,1717.102,3620.961,4593.316,0.914,0.219,2021-10-30T21:00:00.000Z,173.322,1345.874,1508.0,514.22,670.0,10687.558,11531.0
963.587,1227.0,401.645,1227.21,2380.117,2991.451,0.36,0.0,2021-09-29T21:00:00.000Z,127.162,799.53,974.0,340.358,441.0,7127.945,7799.0
1545.034,1970.0,727.578,2115.674,3845.75,5000.799,0.72,0.074,2021-08-30T21:00:00.000Z,158.36,1249.414,1342.0,573.285,766.0,11848.955,12625.0
1428.489,1691.0,652.513,2028.389,3745.91,4937.54,1.973,0.419,2021-07-30T21:00:00.000Z,144.911,1258.97,1358.0,523.482,718.0,11511.655,12064.0
1333.095,1678.0,658.375,2035.801,3809.483,4910.314,0.766,0.0,2021-06-29T21:00:00.000Z,173.227,1540.108,1629.0,592.704,785.0,11587.966,12476.0
1126.222,1476.0,530.229,1583.889,3132.825,4054.459,1.294,0.0,2021-05-30T21:00:00.000Z,170.557,1279.894,1431.0,459.775,628.0,9473.253,10773.0
1004.152,1391.0,438.389,1458.391,2662.255,3663.969,2.347,0.0,2021-04-29T21:00:00.000Z,97.774,1101.955,1151.0,396.857,552.0,8323.125,9606.0
1154.509,1504.0,496.45,1559.968,2747.81,3658.674,0.259,0.0,2021-03-30T21:00:00.000Z,160.471,1058.204,1241.0,464.101,657.0,8623.632,10160.0
